===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               65536
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	133:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	134:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	135:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	136:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	137:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	138:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	139:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	140:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	141:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	142:	1000d D	  10015 D	  1000c D	  1000f D	  
Set	143:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	144:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	145:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	146:	1000a  	  10015 D	  1000c D	  1000f D	  
Set	147:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	148:	1000a  	  1000b D	  10015 D	  1000c D	  
Set	149:	10000  	  10015 D	  1000c D	  1000f D	  
Set	150:	10000  	  10014 D	  10015 D	  1000c D	  
Set	151:	10000  	  1000a  	  10014 D	  10015 D	  
Set	152:	10000  	  1000a  	  10014 D	  10015 D	  
Set	153:	10000  	  10014 D	  10015 D	  1000c D	  
Set	154:	10000  	  10014 D	  10015 D	  1000c D	  
Set	155:	10000  	  10014 D	  10015 D	  1000c D	  
Set	156:	1000c D	  10014 D	  10015 D	  1000f D	  
Set	157:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	158:	10014 D	  10015 D	  1000f D	  1000e D	  
Set	159:	1000d D	  10014 D	  10015 D	  1000f D	  
Set	160:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	161:	10014 D	  10015 D	  1000f D	  0  	  
Set	162:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	163:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	164:	1000c  	  10014 D	  10015 D	  1000e D	  
Set	165:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	166:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	167:	10014 D	  10015 D	  1000f D	  108d5 D	  
Set	168:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	169:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	170:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	171:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	172:	1000d  	  1000c D	  10014 D	  10015 D	  
Set	173:	10014 D	  10015 D	  1000f D	  10000  	  
