===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               1024
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               32768
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	51:	40051 D	  40055 D	  4003e D	  40054 D	  40053 D	  40030 D	  40043 D	  40034 D	  
Set	52:	4003e D	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40043 D	  
Set	53:	40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40043 D	  40034 D	  
Set	54:	40044 D	  40051 D	  40055 D	  40043 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	55:	40037 D	  4002f D	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	56:	4002f D	  40037 D	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	57:	4002f D	  40053 D	  40051 D	  40054 D	  40055 D	  40031 D	  40030 D	  40043 D	  
Set	58:	40035 D	  40051 D	  40054 D	  40053 D	  40055 D	  40031 D	  40030 D	  40043 D	  
Set	59:	40035 D	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  4002f D	  
Set	60:	40035  	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  4002f D	  
Set	61:	40036 D	  40035 D	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	62:	40051 D	  40036 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  4002f D	  
Set	63:	40051 D	  40055 D	  40031 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	64:	4003e D	  40051 D	  40055 D	  40054 D	  40031 D	  40053 D	  40030 D	  4002f D	  
Set	65:	40036 D	  40051 D	  40053 D	  40055 D	  4003e D	  40054 D	  40031 D	  40030 D	  
Set	66:	40051 D	  40031 D	  40053 D	  40055 D	  40054 D	  40030 D	  4002f D	  40043 D	  
Set	67:	40035  	  40051 D	  40055 D	  40054 D	  40037 D	  40053 D	  40030 D	  4002f D	  
Set	68:	40051 D	  40035 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	69:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40034 D	  
Set	70:	40035 D	  40051 D	  4003c D	  40037 D	  40055 D	  40054 D	  40053 D	  40030 D	  
Set	71:	40035  	  40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	72:	7b033 D	  40051 D	  4003f D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  
Set	73:	7b033 D	  40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	74:	40042 D	  4003f D	  40051 D	  40055 D	  4002f D	  40054 D	  40053 D	  40030 D	  
Set	75:	40042 D	  40051 D	  7b033 D	  40053 D	  40055 D	  40054 D	  40030 D	  4002f D	  
Set	76:	40051 D	  4003e D	  40053 D	  40055 D	  40054 D	  40030 D	  4002f D	  40043 D	  
Set	77:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	78:	40051 D	  4003f D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	79:	40051  	  40055 D	  4003f D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	80:	40051 D	  7b033 D	  40055 D	  4003f D	  40054 D	  40053 D	  40030 D	  4002f D	  
Set	81:	40051 D	  40054 D	  40055 D	  4003f D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	82:	40051 D	  4003f D	  40054 D	  40055 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	83:	40051 D	  40037 D	  4003f D	  40054 D	  40055 D	  40053 D	  40030 D	  4002f D	  
Set	84:	40051 D	  40035 D	  40054 D	  40055 D	  40053 D	  4003f D	  40030 D	  4002f D	  
Set	85:	40051 D	  40035 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	86:	40051 D	  40035 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	87:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	88:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	89:	40051 D	  4003f D	  40036 D	  40054 D	  40055 D	  40053 D	  4002f D	  40030 D	  
Set	90:	40051 D	  40054 D	  40055 D	  40053 D	  40036 D	  40030 D	  4002f D	  40043 D	  
Set	91:	40051 D	  40031 D	  40055 D	  40036 D	  40054 D	  40053 D	  40030 D	  4002f D	  
Set	92:	40051 D	  40031 D	  40035 D	  40055 D	  40037 D	  40036 D	  40054 D	  40053 D	  
Set	93:	40051 D	  40031 D	  4003e D	  40037 D	  40055 D	  40036 D	  40054 D	  40053 D	  
Set	94:	40031 D	  40051 D	  40035 D	  4003f D	  4003e D	  40055 D	  40054 D	  40053 D	  
Set	95:	40031 D	  40051 D	  40035 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  
Set	96:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	97:	40051 D	  40055 D	  40053 D	  40033 D	  40035 D	  40054 D	  40030 D	  4002f D	  
Set	98:	40051 D	  40055 D	  40053 D	  40054 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	99:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	100:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	101:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	102:	40055 D	  4003f D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	103:	4003e D	  40055 D	  40054 D	  4003f D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	104:	40055 D	  4003f D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	105:	40054 D	  40055 D	  40053 D	  40033 D	  4003f D	  40030 D	  4002f D	  40043 D	  
Set	106:	40035 D	  40054 D	  40055 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	107:	40054 D	  40055 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  40034 D	  
Set	108:	40054 D	  40055 D	  4003f D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	109:	4003f D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	110:	40055 D	  40036 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	111:	40055 D	  40036 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	112:	40039  	  40055 D	  40054 D	  40053 D	  40052 D	  40030 D	  4002f D	  40043 D	  
Set	113:	40055 D	  40036 D	  40053 D	  40052 D	  40054 D	  40030 D	  4002f D	  40043 D	  
Set	114:	4003e D	  40055 D	  40053 D	  40052 D	  40054 D	  40030 D	  4002f D	  40043 D	  
Set	115:	40055 D	  40052 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	116:	40031 D	  40047  	  40054 D	  40055 D	  40052 D	  40053 D	  40030 D	  4002f D	  
Set	117:	40047  	  40031 D	  40055 D	  40054 D	  40053 D	  40052 D	  40030 D	  4002f D	  
Set	118:	40047  	  4003f D	  40055 D	  40039 D	  40054 D	  40053 D	  40052 D	  40030 D	  
Set	119:	40047  	  40035 D	  40055 D	  40054 D	  40053 D	  40052 D	  40030 D	  4002f D	  
Set	120:	40047  	  4003e D	  40055 D	  40033 D	  40054 D	  40053 D	  40052 D	  40030 D	  
Set	121:	40047  	  40054 D	  40055 D	  40053 D	  4001e  	  40052 D	  4001c  	  40030 D	  
Set	122:	40047  	  40031 D	  4001e  	  40054 D	  40055 D	  40053 D	  4001c  	  40052 D	  
Set	123:	40047  	  40055 D	  4001c  	  40052 D	  40054 D	  40053 D	  40030 D	  4002f D	  
Set	124:	40031  	  40047  	  40035 D	  40055 D	  4001c  	  40052 D	  40054 D	  40053 D	  
Set	125:	40035 D	  40055 D	  4001c  	  4001e  	  40054 D	  40053 D	  40052 D	  40030 D	  
Set	126:	40034 D	  4001e  	  40055 D	  4001c  	  40054 D	  40053 D	  40052 D	  40030 D	  
Set	127:	40032 D	  40034 D	  4001c  	  40055 D	  40054 D	  40053 D	  40052 D	  40030 D	  
===== Simulation results (raw) =====
a. number of L1 reads:                 63640
b. number of L1 read misses:           8449
c. number of L1 writes:                36360
d. number of L1 write misses:          5821
e. L1 miss rate:                       0.142700
f. number of L1 writebacks:            6689
g. number of L1 prefetches:            0
h. number of L2 reads that did not originate from L1 prefetches:	14270
i. number of L2 read misses that did not originate from L1 prefetches:	2625
j. number of L2 reads that originated from L1 prefetches:		0
k. number of L2 read misses that originated from L1 prefetches:	0
l. number of L2 writes:		            6689
m. number of L2 write misses:          0
n. L2 miss rate:                      0.183952
o. number of L2 writebacks:            1234
p. number of L2 prefetches:	          0
q. total memory traffic:             3859
