===== Simulator configuration =====
BLOCKSIZE:             128
L1_SIZE:               32768
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               524288
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	2001b D	  2002b D	  2002a D	  20018 D	  
Set	52:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	53:	4005  	  4002 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	54:	4005  	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	55:	4005  	  4003  	  4002  	  0  	  0  	  0  	  0  	  0  	  
Set	56:	4005  	  4002  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	57:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	58:	4005 D	  4002  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	59:	4005 D	  4235  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	60:	4005 D	  4235  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	61:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	62:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	63:	4003 D	  4000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	64:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	65:	4003 D	  4000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	66:	4003 D	  4000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	67:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	68:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	69:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	70:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	71:	4003 D	  4000 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	72:	4003 D	  4000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	73:	4003 D	  4000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	74:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	75:	4000  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	76:	4003 D	  4004  	  4000  	  0  	  0  	  0  	  0  	  0  	  
Set	77:	4003 D	  4004 D	  4000  	  0  	  0  	  0  	  0  	  0  	  
Set	78:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	79:	4003 D	  4000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	80:	4000  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	81:	4004  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	82:	4004  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	83:	4003 D	  4004  	  4000  	  0  	  0  	  0  	  0  	  0  	  
Set	84:	4004  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	85:	4004  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	86:	4003 D	  4004  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	87:	4004 D	  4235  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	88:	4004  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	89:	4004  	  4003 D	  4002 D	  0  	  0  	  0  	  0  	  0  	  
Set	90:	4004  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	91:	4004  	  4003 D	  4002 D	  0  	  0  	  0  	  0  	  0  	  
Set	92:	4004 D	  4005  	  4003 D	  4002 D	  0  	  0  	  0  	  0  	  
Set	93:	4005  	  4003 D	  4004  	  4002 D	  0  	  0  	  0  	  0  	  
Set	94:	4005 D	  4004 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	95:	4003  	  4005 D	  4004 D	  0  	  0  	  0  	  0  	  0  	  
Set	96:	4003  	  4004 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	97:	4004 D	  4005  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	98:	4005  	  4003 D	  4004  	  0  	  0  	  0  	  0  	  0  	  
Set	99:	4005 D	  4004 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	100:	4004 D	  4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	101:	4005 D	  4004 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	102:	4004 D	  4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	103:	4004 D	  4005 D	  4003 D	  4000  	  0  	  0  	  0  	  0  	  
Set	104:	4004 D	  4003 D	  4005  	  4000  	  0  	  0  	  0  	  0  	  
Set	105:	4004 D	  4005 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	106:	4004 D	  4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	107:	4005 D	  4004 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	108:	4005 D	  4004 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	109:	4004 D	  4005 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	110:	4005 D	  4004 D	  4003 D	  4002 D	  0  	  0  	  0  	  0  	  
Set	111:	4005 D	  4004 D	  4003 D	  4002 D	  0  	  0  	  0  	  0  	  
Set	112:	4004 D	  4005  	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	113:	4005 D	  4004 D	  4003 D	  4000  	  4002 D	  0  	  0  	  0  	  
Set	114:	4004 D	  7b03 D	  4003 D	  4005  	  4000  	  4002 D	  0  	  0  	  
Set	115:	4004 D	  4003 D	  4005  	  7b03 D	  0  	  0  	  0  	  0  	  
Set	116:	4005 D	  7b03 D	  4004 D	  4003 D	  4002 D	  0  	  0  	  0  	  
Set	117:	4004 D	  4003 D	  4005  	  7b03 D	  4002 D	  0  	  0  	  0  	  
Set	118:	4005 D	  4004 D	  4003 D	  4002 D	  0  	  0  	  0  	  0  	  
Set	119:	4005 D	  4004 D	  4003 D	  7b03 D	  0  	  0  	  0  	  0  	  
Set	120:	4003 D	  4004 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	121:	4004 D	  4005  	  4003 D	  4002  	  0  	  0  	  0  	  0  	  
Set	122:	4003 D	  4004 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	123:	4004 D	  4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	124:	4004 D	  4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	125:	4005 D	  4004 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	126:	4003 D	  4004 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	127:	4005 D	  4004 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	128:	4004 D	  4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	129:	4003 D	  4005  	  4004  	  38  	  0  	  0  	  0  	  0  	  
Set	130:	4003 D	  4005  	  4004  	  38  	  0  	  0  	  0  	  0  	  
Set	131:	4004 D	  4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	132:	4005 D	  4004 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	133:	4004 D	  4005  	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	134:	4005  	  4004  	  4003  	  0  	  0  	  0  	  0  	  0  	  
Set	135:	4004 D	  4003 D	  4005  	  7b03 D	  0  	  0  	  0  	  0  	  
Set	136:	4005  	  4004  	  4003  	  7b03  	  0  	  0  	  0  	  0  	  
Set	137:	4003 D	  4005  	  4004  	  7b03 D	  0  	  0  	  0  	  0  	  
Set	138:	4003 D	  4005  	  4004  	  7b03 D	  0  	  0  	  0  	  0  	  
Set	139:	4004 D	  4005  	  4003 D	  7b03  	  0  	  0  	  0  	  0  	  
Set	140:	4004  	  4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	141:	4004 D	  4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  
Set	142:	4005  	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	143:	4005  	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	144:	4005  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	145:	4005  	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	146:	4005  	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	147:	4005  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	148:	4005  	  4003  	  7b03  	  0  	  0  	  0  	  0  	  0  	  
Set	149:	4005  	  4003  	  4235  	  0  	  0  	  0  	  0  	  0  	  
Set	150:	4005  	  4003 D	  4235 D	  0  	  0  	  0  	  0  	  0  	  
Set	151:	4005  	  4003 D	  7b03  	  4235  	  0  	  0  	  0  	  0  	  
Set	152:	4005  	  4003  	  4235 D	  7b03 D	  0  	  0  	  0  	  0  	  
Set	153:	4003 D	  4005  	  7b03 D	  4235  	  0  	  0  	  0  	  0  	  
