===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               131072
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	48:	10011 D	  10015 D	  1000c D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	49:	10015 D	  1000c D	  1000d D	  10014 D	  37e  	  0  	  0  	  0  	  
Set	50:	10011  	  10015 D	  1000c D	  1000d D	  10014 D	  37e  	  0  	  0  	  
Set	51:	10015 D	  1000c D	  1000d D	  10014 D	  37e  	  0  	  0  	  0  	  
Set	52:	10015 D	  1000c D	  1000d D	  10013  	  10014 D	  37e  	  10853 D	  0  	  
Set	53:	10015 D	  1000c D	  1000d D	  10014 D	  10013  	  0  	  0  	  0  	  
Set	54:	10011 D	  10015 D	  1000c D	  1000d D	  10014 D	  10013  	  0  	  0  	  
Set	55:	10015 D	  1000c D	  1000d D	  10013  	  10014 D	  0  	  0  	  0  	  
Set	56:	10015 D	  1000c D	  1000d D	  10014 D	  10013  	  0  	  0  	  0  	  
Set	57:	10015 D	  1000c D	  1000d D	  10014 D	  37e  	  0  	  0  	  0  	  
Set	58:	10015 D	  1000c D	  1000d D	  10014 D	  37e  	  0  	  0  	  0  	  
Set	59:	10015 D	  1000c D	  1000d D	  10014 D	  37e  	  0  	  0  	  0  	  
Set	60:	10015 D	  1000c D	  1000d D	  10014 D	  10853 D	  0  	  0  	  0  	  
Set	61:	10015 D	  1000c D	  1000d D	  10014 D	  0  	  0  	  0  	  0  	  
Set	62:	10015 D	  1000c D	  1000d D	  10014 D	  0  	  0  	  0  	  0  	  
Set	63:	10015 D	  1000c D	  1000d D	  10014 D	  0  	  0  	  0  	  0  	  
Set	64:	10015 D	  1000c D	  1000d D	  10014 D	  0  	  0  	  0  	  0  	  
Set	65:	10015 D	  1000c D	  1000d D	  10014 D	  10013  	  10853  	  37e  	  0  	  
Set	66:	10015 D	  1000c D	  1000d D	  10014 D	  108ec  	  10853 D	  1004e D	  0  	  
Set	67:	10015 D	  1000c D	  1000d D	  10014 D	  108ec D	  0  	  0  	  0  	  
Set	68:	10015 D	  1000c D	  1000d D	  10013  	  10014 D	  0  	  0  	  0  	  
Set	69:	10015 D	  1000c D	  1000d D	  10014 D	  10853 D	  0  	  0  	  0  	  
Set	70:	1000f D	  10015 D	  1000c D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	71:	10015 D	  1000c D	  1000d D	  1000f  	  10013  	  10014 D	  37e  	  0  	  
Set	72:	10015 D	  1000c D	  1000d D	  10014 D	  10853  	  0  	  0  	  0  	  
Set	73:	10015 D	  1000c D	  1000d D	  10014 D	  1004e D	  10853  	  0  	  0  	  
Set	74:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  1004e D	  10853  	  0  	  
Set	75:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  10853  	  0  	  0  	  
Set	76:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  10853  	  0  	  0  	  
Set	77:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  10853  	  0  	  0  	  
Set	78:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  10853  	  0  	  0  	  
Set	79:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108ec D	  0  	  0  	  
Set	80:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108ec D	  0  	  0  	  
Set	81:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  1ec0d  	  108ec D	  0  	  
Set	82:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108ec D	  1ec0d  	  0  	  
Set	83:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108ec D	  37e  	  1ec0d  	  
Set	84:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  0  	  0  	  0  	  
Set	85:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  0  	  0  	  0  	  
Set	86:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  0  	  0  	  0  	  
Set	87:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108d5  	  0  	  0  	  
Set	88:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  0  	  0  	  0  	  
Set	89:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  1004e D	  0  	  0  	  
Set	90:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  0  	  0  	  0  	  
Set	91:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108d5 D	  0  	  0  	  
Set	92:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108d5  	  0  	  0  	  
Set	93:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  1ec0d  	  108d5  	  0  	  
Set	94:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108d5  	  0  	  0  	  
Set	95:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  0  	  0  	  0  	  
Set	96:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  1ec0d D	  0  	  0  	  
Set	97:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108d5 D	  0  	  0  	  
Set	98:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108d5  	  1ec0d D	  0  	  
Set	99:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108d5  	  1ec0d D	  0  	  
Set	100:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108d5  	  1ec0d D	  0  	  
Set	101:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  1ec0d D	  0  	  0  	  
Set	102:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  1ec0d D	  0  	  0  	  
Set	103:	10015 D	  1000c D	  1000d D	  1000f D	  108eb  	  1ec0d D	  0  	  0  	  
Set	104:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108eb  	  108d5  	  1ec0d D	  
Set	105:	10015 D	  1000c D	  1000d D	  1000f D	  10013 D	  10014 D	  108eb  	  108d5  	  
Set	106:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  10013 D	  108eb  	  1ec0d D	  
Set	107:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108eb  	  1ec0d D	  0  	  
