===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               32768
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	54:	40044 D	  40051 D	  40055 D	  40043 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	55:	40037 D	  4002f D	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	56:	4002f D	  40037 D	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	57:	4002f D	  40053 D	  40051 D	  40054 D	  40055 D	  40031 D	  40030 D	  40043 D	  
Set	58:	40035 D	  40051 D	  40054 D	  40053 D	  40055 D	  40031 D	  40030 D	  40043 D	  
Set	59:	40035 D	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  4002f D	  
Set	60:	40035  	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  4002f D	  
Set	61:	40036 D	  40035 D	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	62:	40051 D	  40036 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  4002f D	  
Set	63:	40051 D	  40055 D	  40031 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	64:	4003e D	  40051 D	  40055 D	  40054 D	  40031 D	  40053 D	  40030 D	  4002f D	  
Set	65:	40036 D	  40051 D	  40053 D	  40055 D	  40054 D	  4003e D	  40031 D	  40030 D	  
Set	66:	40051 D	  40031 D	  40053 D	  40055 D	  40054 D	  40030 D	  4002f D	  40043 D	  
Set	67:	40035  	  40051 D	  40055 D	  40054 D	  40037 D	  40053 D	  40030 D	  4002f D	  
Set	68:	40051 D	  40035 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	69:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40034 D	  
Set	70:	40035 D	  40051 D	  4003c D	  40037 D	  40055 D	  40054 D	  40053 D	  40030 D	  
Set	71:	40035  	  40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	72:	40051 D	  4003f D	  7b033  	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  
