===== Simulator configuration =====
BLOCKSIZE:             64
L1_SIZE:               4096
L1_ASSOC:              4
L1_PREF_N:             3
L1_PREF_M:             1
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	38:	2001f D	  20021 D	  2002a D	  20018 D	  2001a D	  2001e D	  20019 D	  20028 D	  
Set	39:	2001f  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  
Set	40:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	41:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	42:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20027 D	  20028 D	  20019  	  
Set	43:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  211aa  	  
Set	44:	2001b D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	45:	2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20019 D	  20028 D	  
Set	46:	2001f D	  2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20019  	  
Set	47:	2001f D	  2002a D	  2001b  	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  
Set	48:	2001f D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  
Set	49:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20027 D	  2001f D	  
Set	50:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	51:	2001f D	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  
Set	52:	2001f  	  2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20026 D	  20028 D	  
Set	53:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019  	  20027 D	  
Set	54:	2002a D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
Set	55:	2002a D	  2001b D	  20018 D	  20021 D	  2001a D	  2001e D	  20028 D	  20019 D	  
Set	56:	2001b D	  20029 D	  2002a D	  20018 D	  20021 D	  2001a  	  2001e D	  20028 D	  
Set	57:	2001f D	  2001b  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	58:	2001f  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20026  	  20028 D	  
Set	59:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20019  	  20002  	  
Set	60:	2001f D	  2002a D	  20029 D	  2000e  	  2000f  	  20018 D	  20021 D	  2001e D	  
Set	61:	2001f  	  2002a D	  2000f  	  20029 D	  2000e  	  20018 D	  20021 D	  2001e D	  
Set	62:	2002a D	  2000f  	  2000e  	  20029 D	  20018 D	  20021 D	  2001e D	  2001a D	  
Set	63:	2001a D	  20019  	  2000e  	  20029 D	  2000f  	  2002a D	  20018 D	  20021 D	  
Set	64:	20019  	  2001f D	  2002a D	  2001a  	  20029 D	  2000e  	  2000f  	  20018 D	  
Set	65:	20019  	  2002a D	  2001f  	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	66:	20019  	  2000f  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  
Set	67:	2000f  	  20029 D	  2002a D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  
Set	68:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20002  	  20027 D	  
Set	69:	2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20019 D	  20028 D	  20027 D	  
Set	70:	2000f  	  2002a D	  20029 D	  20018 D	  20021 D	  2001e D	  20028 D	  20019 D	  
Set	71:	2001f  	  2001a D	  2000f  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  
Set	72:	2001f  	  2001a  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  
Set	73:	20014  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	74:	20000  	  2000f  	  20014  	  20016 D	  2002a D	  20029 D	  20018 D	  20021 D	  
Set	75:	20000  	  2000f  	  20014  	  20016  	  20028 D	  2002a D	  20029 D	  20018 D	  
Set	76:	20000  	  20014  	  2000f  	  20029 D	  20017 D	  20028 D	  2002a D	  20018 D	  
Set	77:	20000  	  20014  	  2000f  	  20029 D	  20017  	  20028 D	  2002a D	  20018 D	  
Set	78:	20000  	  20018 D	  20028 D	  20017 D	  20029 D	  2002a D	  20021 D	  20019 D	  
Set	79:	2001a D	  20018  	  20028 D	  20017  	  20021 D	  2002a D	  20029 D	  20019 D	  
Set	80:	20018  	  2001a  	  20017  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  
Set	81:	20017 D	  20018  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  
Set	82:	2000f  	  20017 D	  20018  	  20028 D	  2002a D	  20029 D	  2001c D	  20021 D	  
Set	83:	2000f  	  20017 D	  20018  	  20028 D	  20021 D	  2002a D	  2001c  	  20029 D	  
Set	84:	2001a  	  20018  	  2000f  	  20029 D	  20017  	  20028 D	  2002a D	  20021 D	  
Set	85:	2001a  	  2000f  	  20013  	  20029 D	  20028 D	  2002a D	  20021 D	  20019 D	  
Set	86:	20018  	  2001a  	  2000f  	  20013  	  20028 D	  2002a D	  20029 D	  20021 D	  
Set	87:	20018  	  2001a  	  20013  	  20028 D	  2002a D	  20029 D	  20021 D	  20019 D	  
Set	88:	20013  	  2001a  	  2000f  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  
Set	89:	20013  	  2001a  	  2000f  	  20028 D	  20029 D	  2002a D	  20021 D	  20019 D	  
Set	90:	20013  	  20028 D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  
Set	91:	2001b D	  20017 D	  20028 D	  2002a D	  20021 D	  20029 D	  20018 D	  20019 D	  
Set	92:	20017 D	  2001b D	  20029 D	  20028 D	  2002a D	  20021 D	  20018 D	  20019 D	  
Set	93:	20017 D	  20028 D	  2001a D	  2001b  	  20029 D	  2002a D	  20018 D	  20021 D	  
Set	94:	2001a D	  20028 D	  2002a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  
Set	95:	2001a  	  20028 D	  2002a D	  20018 D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	96:	20028 D	  20029 D	  2002a D	  20018 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	97:	2001a  	  20028 D	  20029 D	  20018 D	  2002a D	  2001b D	  20017 D	  20021 D	  
Set	98:	2001a D	  20028 D	  20018  	  2002a D	  20029 D	  2001b  	  20017 D	  20021 D	  
Set	99:	20028 D	  2001a D	  2001b D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	100:	20028 D	  2001f D	  2001a  	  3d819  	  2001b D	  2002a D	  20029 D	  20017 D	  
Set	101:	2001f D	  20028 D	  3d819 D	  20029 D	  2002a D	  20017 D	  20021 D	  20019 D	  
Set	102:	20028 D	  2001f  	  20029 D	  2002a D	  3d819  	  20017 D	  20021 D	  20019 D	  
Set	103:	20028  	  2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	104:	20028  	  3d819 D	  2001f D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	105:	2001f D	  20028  	  2001b D	  2002a D	  20029 D	  3d819  	  20017 D	  20021 D	  
Set	106:	20028  	  2001a D	  2001b  	  2001f D	  2002a D	  20029 D	  20017 D	  20021 D	  
Set	107:	2001a D	  20028  	  2002a D	  20029 D	  2001f  	  20017 D	  20021 D	  20019 D	  
Set	108:	20028 D	  2001f D	  2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	109:	20018 D	  20028  	  2001f  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	110:	20018 D	  20028  	  2001a D	  2001b D	  2002a D	  20029 D	  2001f D	  20017 D	  
Set	111:	20028  	  20018  	  2001a D	  2001f D	  2001b  	  2002a D	  20029 D	  20017 D	  
Set	112:	20028  	  20018  	  2001a D	  2001f  	  2002a D	  20029 D	  20019 D	  20017 D	  
Set	113:	20028  	  2002a D	  20029 D	  20019 D	  2001a  	  20017 D	  20021 D	  2001e D	  
Set	114:	20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	115:	20028  	  2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	116:	2002a D	  20029 D	  20019 D	  2001f D	  20017 D	  20021 D	  2001e D	  20028 D	  
Set	117:	2001a D	  2002a D	  20029 D	  20019 D	  2001f  	  20017 D	  20021 D	  2001e D	  
Set	118:	2001f D	  2002a D	  2001a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	119:	2001f  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	120:	2001c  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	121:	2001c  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028  	  
Set	122:	20023  	  2002a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	123:	20023  	  2001a D	  2002a D	  2001f D	  2001c D	  20018  	  20029 D	  20017 D	  
Set	124:	20023  	  2001a  	  2002a D	  2001f  	  20029 D	  2001c  	  20019 D	  20017 D	  
Set	125:	20018 D	  20023  	  2002a D	  20029 D	  20019 D	  20017 D	  20021 D	  2001e D	  
Set	126:	20018 D	  20023  	  2001a D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	127:	20018 D	  20023  	  2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
===== Simulation results (raw) =====
a. number of L1 reads:                 63640
b. number of L1 read misses:           3383
c. number of L1 writes:                36360
d. number of L1 write misses:          1762
e. L1 miss rate:                       0.051450
f. number of L1 writebacks:            3011
g. number of L1 prefetches:            6189
h. number of L2 reads that did not originate from L1 prefetches:	5145
i. number of L2 read misses that did not originate from L1 prefetches:	415
j. number of L2 reads that originated from L1 prefetches:		6189
k. number of L2 read misses that originated from L1 prefetches:	1316
l. number of L2 writes:		            3011
m. number of L2 write misses:          0
n. L2 miss rate:                      0.080661
o. number of L2 writebacks:            313
p. number of L2 prefetches:	          0
q. total memory traffic:             2044
