===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               16384
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	99:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	100:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	101:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	102:	40055 D	  4003f D	  40054 D	  40053 D	  
Set	103:	4003e D	  40055 D	  40054 D	  4003f D	  
Set	104:	40055 D	  4003f D	  40054 D	  40053 D	  
Set	105:	40054 D	  40055 D	  40053 D	  40033 D	  
Set	106:	40035 D	  40054 D	  40055 D	  40053 D	  
Set	107:	40054 D	  40055 D	  40053 D	  40030 D	  
Set	108:	40054 D	  40055 D	  4003f D	  40053 D	  
Set	109:	4003f D	  40055 D	  40054 D	  40053 D	  
Set	110:	40055 D	  40036 D	  40054 D	  40053 D	  
Set	111:	40055 D	  40036 D	  40054 D	  40053 D	  
Set	112:	40039  	  40055 D	  40054 D	  40053 D	  
Set	113:	40055 D	  40036 D	  40053 D	  40052 D	  
Set	114:	4003e D	  40055 D	  40053 D	  40052 D	  
Set	115:	40055 D	  40052 D	  40054 D	  40053 D	  
Set	116:	40031 D	  40047  	  40054 D	  40055 D	  
Set	117:	40047  	  40031 D	  40055 D	  40054 D	  
Set	118:	40047  	  4003f D	  40055 D	  40039 D	  
Set	119:	40047  	  40035 D	  40055 D	  40054 D	  
Set	120:	40047  	  4003e D	  40055 D	  40033 D	  
Set	121:	40047  	  4001e  	  40054 D	  40055 D	  
Set	122:	40047  	  40031 D	  4001e  	  40054 D	  
Set	123:	40047  	  40055 D	  4001c  	  40052 D	  
Set	124:	40031 D	  40047  	  40035 D	  40055 D	  
Set	125:	40035 D	  4001e  	  40055 D	  4001c  	  
Set	126:	40034 D	  4001e  	  4001c  	  40055 D	  
Set	127:	40032 D	  40034 D	  4001c  	  40055 D	  
===== L2 contents =====
Set	0:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	1:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	2:	8006 D	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	3:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	4:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	5:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	6:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	7:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	8:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	9:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	10:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	11:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	12:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	13:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	14:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	15:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	16:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	17:	8007  	  8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  
Set	18:	8009  	  8007 D	  8006 D	  800a D	  0  	  0  	  0  	  0  	  
Set	19:	8007  	  8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  
Set	20:	8006 D	  800a D	  8007  	  1bf  	  0  	  0  	  0  	  0  	  
Set	21:	8006 D	  8007  	  800a D	  8009  	  0  	  0  	  0  	  0  	  
Set	22:	8006 D	  800a D	  8009 D	  0  	  0  	  0  	  0  	  0  	  
Set	23:	8006 D	  800a D	  8009  	  0  	  0  	  0  	  0  	  0  	  
Set	24:	8006 D	  800a D	  8009  	  8476  	  0  	  0  	  0  	  0  	  
Set	25:	8006 D	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	26:	8006 D	  800a D	  8009  	  8476  	  0  	  0  	  0  	  0  	  
Set	27:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	28:	8006 D	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	29:	8006 D	  800a D	  8009  	  8476  	  1bf  	  0  	  0  	  0  	  
Set	30:	8007  	  8006 D	  800a D	  8009 D	  0  	  0  	  0  	  0  	  
Set	31:	8006 D	  8009 D	  800a D	  8007  	  8476  	  0  	  0  	  0  	  
Set	32:	8006 D	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	33:	8006 D	  800a D	  8009  	  8476  	  1bf  	  0  	  0  	  0  	  
Set	34:	8006 D	  800a D	  8009  	  8476  	  1bf  	  0  	  0  	  0  	  
Set	35:	8006 D	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	36:	8006 D	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	37:	8006 D	  800a D	  8009  	  0  	  0  	  0  	  0  	  0  	  
Set	38:	8006  	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	39:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	40:	8006 D	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	41:	8006 D	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	42:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	43:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	44:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	45:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	46:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	47:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
